,portfolio
2008-10-13,-0.007168186176143391
2008-10-14,-0.018164098774636612
2008-10-15,-0.0005757320101422393
2008-10-16,-0.009739153937539182
2008-10-17,0.0218961893015631
2008-10-20,-0.00942758875455586
2008-10-21,-0.011177941869356302
2008-10-22,0.004952384684313338
2008-10-23,-0.016146476769350396
2008-10-24,-0.00866462355398781
2008-10-27,0.022118298932605526
2008-10-28,-0.00440659400829562
2008-10-29,-7.371990392708019e-05
2008-10-30,-0.009547294571340258
2008-10-31,0.0017768404911056418
2008-11-03,0.028730584856292
2008-11-04,-0.009018644449316184
2008-11-05,-0.019329730085251857
2008-11-06,0.0044937377984554435
2008-11-07,0.0021140802077983752
2008-11-10,-0.009115935319011309
2008-11-11,-0.011573151505781473
2008-11-12,0.004763515094089005
2008-11-13,0.0021304776663206046
2008-11-14,-0.0019800180167472963
2008-11-17,0.011792706204008513
2008-11-18,-0.0011212116320451016
2008-11-19,0.014596830538121972
2008-11-20,0.015286789110098968
2008-11-21,0.010598975450577334
2008-11-24,0.019058582696474563
2008-11-25,0.008775769212057668
2008-11-26,0.01018219482538419
2008-11-28,-0.00915920935273815
2008-12-01,0.014015304631480818
2008-12-02,0.005640323419789614
2008-12-03,0.004737079462287015
2008-12-04,-0.004882673498380853
2008-12-05,0.010418195433683266
2008-12-08,0.008155151599216152
2008-12-09,0.007451957843765965
2008-12-10,-0.0026359242858263517
2008-12-11,0.0030984077754837107
2008-12-12,0.0071783071884845015
2008-12-15,0.029090062116250457
2008-12-16,0.015701905393364878
2008-12-17,0.004987966144356722
2008-12-18,-0.0028692759900855506
2008-12-19,-0.00593262622812446
2008-12-22,-0.004881079881872301
2008-12-23,0.001734739294684845
2008-12-24,0.007579753945803298
2008-12-26,8.508032457488668e-05
2008-12-29,0.01022950126715581
2008-12-30,-0.008191375924726097
2008-12-31,-0.008992409624286136
2009-01-02,-0.019438991507325053
2009-01-05,-0.0032304335487657477
2009-01-06,-0.009466307332889034
2009-01-07,0.003940249990025166
2009-01-08,-0.005159391031216775
2009-01-09,-0.0059273565711702786
2009-01-12,0.0013075040021712204
2009-01-13,0.0001617662859981191
2009-01-14,0.0023403015269274465
2009-01-15,-0.002687692642516064
2009-01-16,-0.008868826413052103
2009-01-20,-0.010296987721941922
2009-01-21,-0.014371517882529395
2009-01-22,0.0040564929131785
