,wf_portfolio
2015-05-21,-0.0011076369041319054
2015-05-22,-9.170635565878714e-05
2015-05-26,0.005619855950977238
2015-05-27,-0.0014292220429012353
2015-05-28,-0.0021648832933239283
2015-05-29,-0.0033927184632228623
2015-06-01,-0.005714061384649087
2015-06-02,-0.0058782589215659485
2015-06-03,0.0002263187169084538
2015-06-04,-0.006292497353993443
2015-06-05,-0.0032327853974455246
2015-06-08,-0.003029674758150128
2015-06-09,0.0032918470385295447
2015-06-10,0.009478008385333945
2015-06-11,-0.0038687012781939934
2015-06-12,-0.0010629031564101826
2015-06-15,0.00549405554504756
2015-06-16,-0.0018282780530085858
2015-06-17,0.004487207300001251
2015-06-18,0.0027065320466273367
2015-06-19,-0.006985776221976989
2015-06-22,-0.002716110266106701
2015-06-23,-0.0004758174707452745
2015-06-24,-0.003060543078337062
2015-06-25,-0.00451034166094049
2015-06-26,0.00030524025686287865
2015-06-29,-0.0023581172122548043
2015-06-30,-0.0017921485420859414
2015-07-01,0.0006578037161739695
2015-07-02,0.006189027509007614
2015-07-06,0.005708053787302332
2015-07-07,-0.0021705780617815125
2015-07-08,-0.008984060918495403
2015-07-09,-0.0028706132934794714
2015-07-10,-1.1493561357510396e-05
2015-07-13,0.0018340010652377373
2015-07-14,0.00214050229913886
2015-07-15,0.007132848922517012
2015-07-16,0.0013728017130115186
2015-07-17,-0.0020691567113600186
2015-07-20,-0.0015778794802217269
2015-07-21,2.3088470369266045e-05
2015-07-22,-0.0010815563905372779
2015-07-23,-0.006193393548324499
2015-07-24,-0.0014353403043597976
2015-07-27,0.0038625423602692793
2015-07-28,0.0023536748957835732
2015-07-29,0.002770793827473173
2015-07-30,0.001095160565757414
2015-07-31,0.0019329640261960446
2015-08-03,-0.0035363564996033856
2015-08-04,-0.0002799345816088119
2015-08-05,-0.0012010567829186449
2015-08-06,0.0020372557925904685
2015-08-07,0.006157438693909886
2015-08-10,-0.0021513431931508824
2015-08-11,0.000167939783694384
2015-08-12,-0.002391348154398937
2015-08-13,0.0029316276977644318
2015-08-14,0.004998044991340827
2015-08-17,-0.004765410129464451
2015-08-18,-0.0024312006405126972
2015-08-19,0.004671333568205663
2015-08-20,-0.004308046447747806
2015-08-21,-0.012695336035283245
2015-08-24,-0.013861969164871722
2015-08-25,-0.003279575905523722
2015-08-26,0.006533545602427217
2015-08-27,0.004233033372659763
2015-08-28,-0.004865917980646062
2015-08-31,-0.0034253852404246337
2015-09-01,-0.000672017353712281
2015-09-02,-0.00020599377495188718
2015-09-03,-0.0011204907516113819
2015-09-04,0.00011754790470943767
2015-09-08,-0.005723047807326163
2015-09-09,-0.0006740824122081236
2015-09-10,0.003053269684916412
2015-09-11,-8.999225949274825e-05
2015-09-14,-0.005949211233577837
2015-09-15,0.005004888190612986
2015-09-16,0.007890018309024704
2015-09-17,0.004686445812548828
2015-09-18,-0.007631697696223515
2015-09-21,0.00018949983185980162
2015-09-22,0.0008960764997256313
2015-09-23,0.00885630332320634
2015-09-24,-0.005738805984528078
2015-09-25,-0.0035549006233646816
2015-09-28,-3.709812226879855e-05
2015-09-29,-0.00030736786083007065
2015-09-30,0.002014886658901244
2015-10-01,0.01322052210728286
2015-10-02,-0.0019462775237011278
2015-10-05,0.004263980793738496
2015-10-06,0.00016837848232976018
2015-10-07,-0.002961031722833669
2015-10-08,0.0030398623639070954
2015-10-09,0.004814376709180125
2015-10-12,0.0006818006504929917
2015-10-13,0.007949848824814075
2015-10-14,0.00022707957440486876
2015-10-15,-0.0008864025965731001
2015-10-16,-0.0023771030469168153
2015-10-19,-0.0011331212160762083
2015-10-20,0.000117749407936026
2015-10-21,0.004830655478015406
2015-10-22,-0.0016035060306395803
2015-10-23,0.0021424567413888206
2015-10-26,0.00025570708540275923
2015-10-27,0.0032341814987337913
2015-10-28,-0.007663050913200174
2015-10-29,0.0004654166541012436
2015-10-30,0.0033863110560059303
2015-11-02,-0.0033395100901202853
2015-11-03,-0.002005105028005689
2015-11-04,-0.0018695221109346744
2015-11-05,-0.007636022795082213
2015-11-06,-0.006658243360306709
2015-11-09,0.0011304024880012086
2015-11-10,-0.002978304926779995
2015-11-11,-0.0014250771476831043
2015-11-12,-0.0013355385126855481
2015-11-13,0.003859814677521196
2015-11-16,-0.003838335697083952
2015-11-17,0.005103641408095962
2015-11-18,0.006186326145582826
2015-11-19,-0.0018768255611746076
2015-11-20,-0.001644074567903967
2015-11-23,0.0024736513683212796
2015-11-24,-0.000592085816867179
2015-11-25,-0.004028679762490257
2015-11-27,0.0027946903030635255
2015-11-30,0.009190738580491027
2015-12-01,-0.0075665114622144244
2015-12-02,-0.011280134009181922
2015-12-03,0.015866273991502762
2015-12-04,-0.0021844780764289384
2015-12-07,-0.000911755136751113
2015-12-08,-0.0030592529164173996
2015-12-09,0.0008675142771818349
2015-12-10,0.003287043147104227
2015-12-11,-0.008454903017910426
2015-12-14,-0.0006895425265486333
2015-12-15,0.006962070725279735
2015-12-16,-0.007195443846985654
2015-12-17,0.0030719571729873473
2015-12-18,0.005777630266860378
2015-12-21,-0.0024724856007862003
2015-12-22,-0.0009537844033997906
2015-12-23,0.004399140859292378
2015-12-24,-0.0020838199498624172
2015-12-28,-0.004236954794547152
2015-12-29,-0.004880192897024217
2015-12-30,-0.0005925975149012725
2015-12-31,0.00427574753400202
2016-01-04,-0.0001878778475320089
2016-01-05,0.007201303037819028
2016-01-06,-0.0004011853719612388
2016-01-07,-0.00255305940743414
2016-01-08,-0.004800157530929673
